tf-idf   url
-1.609 calendar.ics.uci.edu/download.php?calendar=1&category=&fromDate=2016-05-02&toDate=2016-05-02
-1.609 cml.ics.uci.edu/aiml/page/9
-1.609 calendar.ics.uci.edu/download.php?calendar=1&category=&fromDate=2016-10-20&toDate=2016-10-20
-1.609 fano.ics.uci.edu/cites/Author/ukasz-Kowalik.html
-1.609 evoke.ics.uci.edu?page_id=122
-1.609 cml.ics.uci.edu/2015/01/winter-2015
-1.609 cgvw.ics.uci.edu/tag/latimes
-1.609 vcp.ics.uci.edu/biblio/author/439
-1.609 sdcl.ics.uci.edu/page/3
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2&afg44_page_id=4&afg15_page_id=3&afg34_page_id=3&afg43_page_id=3&afg41_page_id=2
-1.609 sdcl.ics.uci.edu/author/lmartie
-1.609 evoke.ics.uci.edu?m=201403
-1.609 sdcl.ics.uci.edu/research/lighthouse
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=1&afg15_page_id=3&afg34_page_id=4
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2Fpage%2F2%2F&afg42_page_id=2&afg43_page_id=1&afg44_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2&afg34_page_id=4&afg41_page_id=2&afg42_page_id=1&afg44_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2Fpage%2F2%2F&afg34_page_id=2&afg15_page_id=1&afg42_page_id=2&afg41_page_id=3
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2&afg34_page_id=4&afg41_page_id=2&afg42_page_id=1&afg44_page_id=3
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=2&afg34_page_id=3&afg22_page_id=2&afg41_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=2&afg34_page_id=4&afg15_page_id=3&afg41_page_id=3&afg43_page_id=1&afg44_page_id=5
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=1&afg22_page_id=2&afg34_page_id=2&afg43_page_id=3&afg42_page_id=1&afg41_page_id=3
-1.609 sdcl.ics.uci.edu?p=25
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2&afg44_page_id=4&afg15_page_id=2
-1.609 sdcl.ics.uci.edu
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2Fpage%2F2%2F&afg34_page_id=2&afg15_page_id=3&afg22_page_id=2&afg13_page_id=1&afg43_page_id=3&afg44_page_id=3&afg42_page_id=2&afg41_page_id=3
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2Fpage/2/&afg34_page_id=3&afg42_page_id=1&afg41_page_id=3&afg22_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=1&afg22_page_id=2&afg34_page_id=2&afg43_page_id=3&afg44_page_id=1&afg41_page_id=3&afg42_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2Fpage%2F2%2F&afg42_page_id=2&afg43_page_id=1&afg44_page_id=3&afg41_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=2&afg34_page_id=4&afg15_page_id=1&afg42_page_id=1
-1.609 wics.ics.uci.edu/category/news/info-session?afg41_page_id=1&afg44_page_id=4&afg34_page_id=3
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page/2/&afg13_page_id=1&afg22_page_id=2&afg44_page_id=5&afg43_page_id=3&afg42_page_id=1
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=1&afg22_page_id=2&afg44_page_id=5&afg15_page_id=3&afg34_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=2&afg34_page_id=3&afg41_page_id=3&afg42_page_id=2
-1.609 www.ics.uci.edu/about/visit/../bren/index.php/bren_advance.php/../brenhall/index.php/bren_vision.php/../../ugrad/index.php/bren_vision.php/bren_press.php/../about_mission.php/../about_safety.php/index.php/bren_advance.php/../search/index.php/bren_press.php/bren_vision.php/../brenhall/index.php/../visit/index.php/../../ugrad/index.php/../about_safety.php/bren_vision.php/../visit/index.php/../../ugrad/index.php/../about_contact.php/bren_about.php/../brenhall/index.php/bren_vision.php/bren_press.php/index.php/bren_press.php/../search/index.php/../search/index.php/ICS/ics/about/about_facts/../../ugrad/index.php/../../ugrad/index.php/../../ugrad/index.php/ICS/ics/about/about_facts/bren_press.php/../../grad/index.php/../about_deanmsg.php/../about_deanmsg.php/../about_safety.php/../about_contact.php/../about_deanmsg.php/../about_mission.php/index.php/../about_deanmsg.php/../../ugrad/index.php/index.php/../about_safety.php/../about_mission.php/../search/index.php/index.php
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2Fpage/2/&afg34_page_id=3&afg42_page_id=2&afg13_page_id=2&afg43_page_id=1&afg15_page_id=1&afg22_page_id=2&afg44_page_id=4
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2Fpage%2F2%2F&afg42_page_id=2&afg41_page_id=2&afg43_page_id=3&afg15_page_id=2&afg34_page_id=4&afg44_page_id=3
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=1&afg41_page_id=2&afg43_page_id=2&afg44_page_id=4&afg15_page_id=1&afg34_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page/2/&afg13_page_id=2&afg34_page_id=3&afg41_page_id=2
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2F&afg13_page_id=2&afg34_page_id=4&afg42_page_id=3&afg22_page_id=2&afg44_page_id=1
